# Neutron cross sections extracted from Geant4 by the ESS dgcode framework (doi:10.1016/j.physb.2018.03.025).
# Element: Gd152
# Geant4 version: 1043 "$Name: geant4-10-04-patch-03 $"
# Samples per energy point: 1250
# Energy_eV SigmaScat_Barn SigmaAbs_Barn
1.00867e-09 134949 3.74885e+06
1.01158e-09 134064 3.74451e+06
1.0145e-09 134708 3.73825e+06
1.01742e-09 133850 3.7335e+06
1.02035e-09 133796 3.72856e+06
1.02329e-09 133560 3.72217e+06
1.02624e-09 133066 3.71788e+06
1.0292e-09 133282 3.71283e+06
1.03217e-09 132576 3.7063e+06
1.03514e-09 132869 3.70151e+06
1.03813e-09 132284 3.69609e+06
1.04112e-09 132726 3.69075e+06
1.04412e-09 132284 3.68447e+06
1.04713e-09 131530 3.67972e+06
1.05015e-09 131386 3.67503e+06
1.05317e-09 131610 3.66876e+06
1.05621e-09 131457 3.66484e+06
1.05925e-09 130853 3.65842e+06
1.06231e-09 131147 3.65347e+06
1.06537e-09 130877 3.64786e+06
1.06844e-09 130926 3.6432e+06
1.07152e-09 129954 3.6375e+06
1.07461e-09 130005 3.63248e+06
1.07771e-09 130016 3.62838e+06
1.08081e-09 129821 3.62232e+06
1.08393e-09 129967 3.61773e+06
1.08705e-09 129880 3.61171e+06
1.09018e-09 129310 3.60788e+06
1.09333e-09 129279 3.60197e+06
1.09648e-09 129151 3.5959e+06
1.09964e-09 128915 3.59169e+06
1.10281e-09 128344 3.58551e+06
1.10599e-09 128474 3.58005e+06
1.10917e-09 128289 3.5753e+06
1.11237e-09 127985 3.57113e+06
1.11558e-09 127682 3.56508e+06
1.11879e-09 127230 3.56061e+06
1.12202e-09 127561 3.55475e+06
1.12525e-09 126927 3.55085e+06
1.1285e-09 127548 3.54616e+06
1.13175e-09 126707 3.54049e+06
1.13501e-09 126845 3.53583e+06
1.13828e-09 126662 3.52935e+06
1.14156e-09 126140 3.52309e+06
1.14485e-09 125990 3.51994e+06
1.14815e-09 125786 3.51435e+06
1.15146e-09 126029 3.50713e+06
1.15478e-09 125965 3.50369e+06
1.15811e-09 125256 3.49885e+06
1.16145e-09 125159 3.49456e+06
1.1648e-09 125413 3.48996e+06
1.16815e-09 124922 3.48462e+06
1.17152e-09 124049 3.47812e+06
1.1749e-09 124329 3.47406e+06
1.17828e-09 124841 3.46992e+06
1.18168e-09 124110 3.46422e+06
1.18509e-09 124001 3.45822e+06
1.1885e-09 123900 3.45363e+06
1.19193e-09 123947 3.44883e+06
1.19536e-09 123600 3.44406e+06
1.19881e-09 123355 3.43988e+06
1.20226e-09 123340 3.43469e+06
1.20573e-09 122990 3.42935e+06
1.20921e-09 122866 3.42496e+06
1.21269e-09 122576 3.41916e+06
1.21619e-09 122511 3.41502e+06
1.21969e-09 122328 3.41067e+06
1.22321e-09 122054 3.40588e+06
1.22673e-09 122075 3.4e+06
1.23027e-09 121436 3.39675e+06
1.23381e-09 121592 3.39026e+06
1.23737e-09 121085 3.38497e+06
1.24094e-09 121162 3.37888e+06
