# Neutron cross sections extracted from Geant4 by the ESS dgcode framework (doi:10.1016/j.physb.2018.03.025).
# Element: Li7
# Geant4 version: 1043 "$Name: geant4-10-04-patch-03 $"
# Samples per energy point: 1250
# Energy_eV SigmaScat_Barn SigmaAbs_Barn
1.01158e-09 1996.93 229.905
1.0145e-09 1998.13 229.571
1.01742e-09 1986.03 229.243
1.02035e-09 1983.12 228.929
1.02329e-09 1992.75 228.599
1.02624e-09 1984.97 228.277
1.0292e-09 1979.49 227.932
1.03217e-09 1978.61 227.629
1.03514e-09 1970.43 227.288
1.03813e-09 1968.53 226.959
1.04112e-09 1971.07 226.635
1.04412e-09 1960 226.324
1.04713e-09 1960.04 225.975
1.05015e-09 1955.24 225.654
1.05317e-09 1954.27 225.333
1.05621e-09 1954.86 225.013
1.05925e-09 1947.21 224.69
1.06231e-09 1947.36 224.371
1.06537e-09 1945.43 224.039
1.06844e-09 1939.57 223.708
1.07152e-09 1937.68 223.386
1.07461e-09 1928.57 223.07
1.07771e-09 1927.17 222.756
1.08081e-09 1930.68 222.437
1.08393e-09 1932.84 222.125
1.08705e-09 1924.75 221.789
1.09018e-09 1926.57 221.475
1.09333e-09 1920.83 221.161
1.09648e-09 1923.05 220.849
1.09964e-09 1916.08 220.529
1.10281e-09 1912.29 220.197
1.10599e-09 1909.55 219.894
1.10917e-09 1906.69 219.583
1.11237e-09 1904.51 219.248
1.11558e-09 1906.27 218.935
1.11879e-09 1890.25 218.621
1.12202e-09 1896.97 218.305
1.12525e-09 1889.07 217.994
1.1285e-09 1895.89 217.679
1.13175e-09 1876.97 217.372
1.13501e-09 1885.24 217.06
1.13828e-09 1888.22 216.764
1.14156e-09 1874.36 216.43
1.14485e-09 1876.96 216.121
1.14815e-09 1872.03 215.812
1.15146e-09 1872.87 215.508
1.15478e-09 1866.6 215.181
1.15811e-09 1865.83 214.888
1.16145e-09 1866.23 214.563
1.1648e-09 1867.74 214.248
1.16815e-09 1856.73 213.956
1.17152e-09 1851.7 213.626
1.1749e-09 1849.69 213.333
1.17828e-09 1855.88 213.032
1.18168e-09 1849.11 212.722
1.18509e-09 1844.46 212.428
1.1885e-09 1839.67 212.113
1.19193e-09 1843.68 211.825
1.19536e-09 1836.42 211.505
1.19881e-09 1837.32 211.188
1.20226e-09 1835.94 210.909
1.20573e-09 1828.44 210.599
1.20921e-09 1830.81 210.295
1.21269e-09 1822.66 209.993
1.21619e-09 1822.9 209.691
1.21969e-09 1817.08 209.399
1.22321e-09 1818.45 209.083
1.22673e-09 1811.23 208.793
1.23027e-09 1813.21 208.49
1.23381e-09 1811.7 208.188
1.23737e-09 1801.04 207.876
1.24094e-09 1801.39 207.584
1.24451e-09 1794.89 207.299
1.2481e-09 1799.4 206.979
1.2517e-09 1795.91 206.691
1.25531e-09 1792.68 206.396
1.25893e-09 1792.53 206.113
1.26255e-09 1787.57 205.798
1.26619e-09 1787.23 205.51
1.26984e-09 1782.42 205.219
1.2735e-09 1778.26 204.916
1.27717e-09 1775.54 204.615
1.28086e-09 1770.18 204.311
1.28455e-09 1770.65 204.03
1.28825e-09 1774.85 203.75
1.29196e-09 1767.21 203.465
1.29569e-09 1761.87 203.148
1.29942e-09 1757.39 202.857
1.30317e-09 1761.86 202.583
1.30692e-09 1756.57 202.281
1.31069e-09 1756.43 201.985
1.31447e-09 1752.16 201.698
1.31826e-09 1747.22 201.41
1.32206e-09 1739.92 201.119
1.32587e-09 1738.38 200.82
1.32969e-09 1739.47 200.548
1.33352e-09 1736 200.254
1.33737e-09 1739.62 199.967
1.34122e-09 1730.81 199.674
1.34509e-09 1725.1 199.382
1.34896e-09 1730.55 199.097
1.35285e-09 1727.32 198.811
