# Neutron cross sections extracted from Geant4 by the ESS dgcode framework (doi:10.1016/j.physb.2018.03.025).
# Element: Cd108
# Geant4 version: 1043 "$Name: geant4-10-04-patch-03 $"
# Samples per energy point: 1250
# Energy_eV SigmaScat_Barn SigmaAbs_Barn
1.01158e-09 1757.53 4588.67
1.0145e-09 1757.56 4583.25
1.01742e-09 1747.13 4576.64
1.02035e-09 1744.47 4569.82
1.02329e-09 1752.14 4563.07
1.02624e-09 1746.06 4557.2
1.0292e-09 1741.26 4551.93
1.03217e-09 1740.7 4541.7
1.03514e-09 1731.7 4537.01
1.03813e-09 1731.82 4530.6
1.04112e-09 1733.22 4523.98
1.04412e-09 1723.79 4517.81
1.04713e-09 1724.67 4511.24
1.05015e-09 1719.38 4504.51
1.05317e-09 1718.84 4497.87
1.05621e-09 1719.95 4490.32
1.05925e-09 1712.74 4484.4
1.06231e-09 1714.41 4478.74
1.06537e-09 1711.5 4471.6
1.06844e-09 1705.93 4464.76
1.07152e-09 1704.79 4458.41
1.07461e-09 1696.65 4452.81
1.07771e-09 1695 4447.85
1.08081e-09 1698.02 4439.48
1.08393e-09 1699.76 4434.44
1.08705e-09 1692.82 4427.97
1.09018e-09 1694.62 4421.44
1.09333e-09 1689.91 4414.09
1.09648e-09 1690.06 4408.57
1.09964e-09 1684.86 4402.68
1.10281e-09 1683.72 4394.24
1.10599e-09 1679.25 4389.49
1.10917e-09 1675.94 4382.12
1.11237e-09 1676.1 4376.58
1.11558e-09 1677.51 4370.1
1.11879e-09 1661.99 4364.51
1.12202e-09 1669.74 4357.53
1.12525e-09 1661.5 4352.06
1.1285e-09 1666.59 4344.99
1.13175e-09 1651.31 4338.92
1.13501e-09 1658.21 4332.09
1.13828e-09 1660.77 4327.75
1.14156e-09 1647.81 4320.07
1.14485e-09 1650.7 4314.18
1.14815e-09 1646.82 4307.08
1.15146e-09 1646.82 4300.39
1.15478e-09 1642.84 4294.68
1.15811e-09 1640.85 4288.55
1.16145e-09 1641.98 4283.86
1.1648e-09 1643.98 4276.85
1.16815e-09 1632.37 4271
1.17152e-09 1629.63 4264.61
1.1749e-09 1627.37 4258.21
1.17828e-09 1632.77 4251.6
1.18168e-09 1625.26 4246.24
1.18509e-09 1622.15 4240.07
1.1885e-09 1620.28 4234.97
1.19193e-09 1619.16 4227.83
1.19536e-09 1616.59 4222.04
1.19881e-09 1614.46 4216.37
1.20226e-09 1615.54 4209.11
1.20573e-09 1609.24 4202.86
1.20921e-09 1610.63 4197.41
1.21269e-09 1603.55 4192.16
1.21619e-09 1602.09 4184.47
1.21969e-09 1597.75 4179.59
1.22321e-09 1600.53 4173.01
1.22673e-09 1592.92 4167.58
1.23027e-09 1595.93 4161.81
1.23381e-09 1591.98 4155.09
1.23737e-09 1586.21 4149.37
1.24094e-09 1585.56 4142.88
1.24451e-09 1576.87 4137.53
1.2481e-09 1582.1 4130.2
1.2517e-09 1582.06 4125.5
1.25531e-09 1577.85 4118.76
1.25893e-09 1573 4112.86
1.26255e-09 1574.42 4108.48
1.26619e-09 1570.74 4102.54
1.26984e-09 1569.66 4095.83
1.2735e-09 1564.46 4090.2
1.27717e-09 1561.29 4084.63
1.28086e-09 1557.55 4079.39
1.28455e-09 1560.1 4072.4
1.28825e-09 1559.08 4066.49
1.29196e-09 1554.51 4060.68
1.29569e-09 1551.77 4054.94
1.29942e-09 1543.55 4051.19
1.30317e-09 1550.46 4043.71
1.30692e-09 1545.24 4038.22
1.31069e-09 1545.14 4031.35
1.31447e-09 1540.16 4026.17
1.31826e-09 1537.69 4021.04
1.32206e-09 1530.35 4015.23
1.32587e-09 1529.69 4008.39
1.32969e-09 1529.24 4002.55
1.33352e-09 1525.66 3997.35
1.33737e-09 1530.38 3990.74
1.34122e-09 1522.29 3985.78
1.34509e-09 1518.42 3978.94
1.34896e-09 1521.56 3974.57
1.35285e-09 1518.6 3968.56
1.35675e-09 1515.2 3962.13
1.36066e-09 1514.21 3957.26
1.36458e-09 1512.95 3951.65
1.36852e-09 1507.84 3945.73
1.37246e-09 1507.64 3940.41
1.37642e-09 1509.07 3934.63
1.38038e-09 1500.69 3928.68
1.38436e-09 1495.18 3922.77
1.38835e-09 1503.75 3917.39
1.39236e-09 1490.91 3911.74
1.39637e-09 1489.02 3906.06
1.40039e-09 1489.58 3899.9
1.40443e-09 1486.68 3894.44
1.40848e-09 1488.25 3887.58
1.41254e-09 1482.06 3882.61
1.41661e-09 1479.79 3878.46
1.42069e-09 1473.71 3872.18
1.42479e-09 1480.75 3865.67
1.42889e-09 1482.46 3861.43
1.43301e-09 1477.23 3857
1.43714e-09 1469.56 3849.92
1.44129e-09 1470.41 3845.3
1.44544e-09 1469.79 3839.9
1.44961e-09 1464.85 3833.3
1.45378e-09 1465.36 3828.64
1.45797e-09 1465.19 3821.63
1.46218e-09 1457.06 3817.52
1.46639e-09 1456.82 3811.87
1.47062e-09 1451.45 3806.95
1.47486e-09 1454.57 3800.8
1.47911e-09 1449.82 3795.39
1.48337e-09 1447.42 3789.36
1.48765e-09 1444.68 3784.02
1.49194e-09 1448.12 3780.03
1.49624e-09 1443.21 3773.7
1.50055e-09 1440.19 3768.26
1.50487e-09 1440.9 3762.22
1.50921e-09 1438.6 3756.56
1.51356e-09 1439.71 3751.35
1.51792e-09 1431.44 3745.97
1.5223e-09 1430.97 3741.18
1.52669e-09 1426.71 3734.31
1.53109e-09 1430.82 3730.08
1.5355e-09 1428.08 3724.79
1.53993e-09 1420.55 3719.55
1.54437e-09 1417.34 3712.36
1.54882e-09 1417.59 3710.19
1.55328e-09 1420.92 3702.6
1.55776e-09 1414.28 3698.44
1.56225e-09 1412.33 3692.23
1.56675e-09 1412.43 3687.2
1.57127e-09 1408.14 3682.77
1.5758e-09 1403.84 3678.11
1.58034e-09 1409.55 3672.12
1.58489e-09 1399.88 3667.01
1.58946e-09 1402.48 3661.26
1.59404e-09 1395.8 3656.5
1.59864e-09 1396.73 3649.88
1.60325e-09 1398.69 3644.73
1.60787e-09 1388.16 3639.4
1.6125e-09 1392.96 3634.73
1.61715e-09 1386.74 3628.88
1.62181e-09 1389.38 3624.86
1.62648e-09 1384.02 3618.7
1.63117e-09 1381.89 3614.1
1.63587e-09 1381.16 3608.71
1.64059e-09 1380.42 3603.18
1.64532e-09 1380.55 3599.13
1.65006e-09 1375.84 3593.27
1.65482e-09 1369.54 3587.95
1.65959e-09 1373.25 3583.42
1.66437e-09 1370.47 3578.68
1.66917e-09 1370.23 3573.51
1.67398e-09 1370 3568.03
1.6788e-09 1361.76 3562.15
1.68364e-09 1361.36 3557.49
1.6885e-09 1359.25 3553.38
1.69336e-09 1356.17 3547.05
1.69824e-09 1353.52 3541.89
1.70314e-09 1354.96 3536.69
1.70805e-09 1354.44 3531.4
1.71297e-09 1350.51 3526.5
1.71791e-09 1348.7 3522.17
