# Neutron cross sections extracted from Geant4 by the ESS dgcode framework (doi:10.1016/j.physb.2018.03.025).
# Element: Gd156
# Geant4 version: 1043 "$Name: geant4-10-04-patch-03 $"
# Samples per energy point: 1250
# Energy_eV SigmaScat_Barn SigmaAbs_Barn
1.01158e-09 2140.82 9059.94
1.0145e-09 2140.42 9043.96
1.01742e-09 2128.27 9032.4
1.02035e-09 2124.69 9017.75
1.02329e-09 2134.64 9006.14
1.02624e-09 2125.15 8992.87
1.0292e-09 2122.59 8979.75
1.03217e-09 2120.32 8968.27
1.03514e-09 2108.98 8952.58
1.03813e-09 2110.39 8940.48
1.04112e-09 2110.11 8926.4
1.04412e-09 2099.77 8914.91
1.04713e-09 2101.33 8902.16
1.05015e-09 2093.78 8885.39
1.05317e-09 2094.08 8877.37
1.05621e-09 2093.94 8861.71
1.05925e-09 2086.38 8849.84
1.06231e-09 2087.85 8838.82
1.06537e-09 2085.41 8826.05
1.06844e-09 2077.36 8811.55
1.07152e-09 2075.6 8796.48
1.07461e-09 2067.28 8787.25
1.07771e-09 2064.18 8773.93
1.08081e-09 2068.56 8758.57
1.08393e-09 2070.52 8750.23
1.08705e-09 2061.02 8738.73
1.09018e-09 2064.63 8724.06
1.09333e-09 2059.92 8713.73
1.09648e-09 2057.41 8700.02
1.09964e-09 2051.95 8686.42
1.10281e-09 2051.25 8675.37
1.10599e-09 2045.68 8662.09
1.10917e-09 2040.99 8651.49
1.11237e-09 2041.9 8639
1.11558e-09 2043.16 8618.75
1.11879e-09 2023.67 8612.29
1.12202e-09 2034.21 8599.67
1.12525e-09 2023.57 8588.75
1.1285e-09 2029.67 8574
1.13175e-09 2012 8562.57
1.13501e-09 2019.96 8550.25
1.13828e-09 2022.82 8538.72
1.14156e-09 2007.44 8525.39
1.14485e-09 2010.76 8512.86
1.14815e-09 2005.74 8502.05
1.15146e-09 2006.03 8487.46
1.15478e-09 2000.98 8475.47
1.15811e-09 1998.63 8465.87
1.16145e-09 2000.15 8454.89
1.1648e-09 2002.51 8436.72
1.16815e-09 1988.32 8424.55
1.17152e-09 1984.76 8417.4
1.1749e-09 1982.25 8397.75
1.17828e-09 1988.85 8390.22
1.18168e-09 1979.23 8379.93
1.18509e-09 1975.93 8366.21
1.1885e-09 1974.59 8355.06
1.19193e-09 1972.01 8343.91
1.19536e-09 1969.71 8332.59
1.19881e-09 1966.65 8319.5
1.20226e-09 1966.79 8303.9
1.20573e-09 1960.64 8294.11
1.20921e-09 1960.96 8284.32
1.21269e-09 1953.7 8272.47
1.21619e-09 1951.16 8261.64
1.21969e-09 1945.69 8246.75
1.22321e-09 1949.3 8238.03
1.22673e-09 1940.35 8225.53
1.23027e-09 1943.73 8213.6
1.23381e-09 1939.25 8199.71
1.23737e-09 1931.65 8187.13
1.24094e-09 1931.5 8176.48
1.24451e-09 1921.43 8165.74
1.2481e-09 1926.44 8152.14
1.2517e-09 1926.61 8142.75
1.25531e-09 1922.2 8129.34
1.25893e-09 1916.43 8117.6
1.26255e-09 1917.65 8105.45
1.26619e-09 1913.4 8097.06
1.26984e-09 1912.01 8082.21
1.2735e-09 1906.2 8071.25
1.27717e-09 1900.12 8062.75
