# Neutron cross sections extracted from Geant4 by the ESS dgcode framework (doi:10.1016/j.physb.2018.03.025).
# Element: B10
# Geant4 version: 1043 "$Name: geant4-10-04-patch-03 $"
# Samples per energy point: 1250
# Energy_eV SigmaScat_Barn SigmaAbs_Barn
1.00867e-09 3810.73 1.94909e+07
1.01158e-09 3782.75 1.94619e+07
1.0145e-09 3803.6 1.94347e+07
1.01742e-09 3778.79 1.94071e+07
1.02035e-09 3778.07 1.93782e+07
1.02329e-09 3767.78 1.93522e+07
1.02624e-09 3756.17 1.9323e+07
1.0292e-09 3764.14 1.92956e+07
1.03217e-09 3740.85 1.92683e+07
1.03514e-09 3749.63 1.92399e+07
1.03813e-09 3734.68 1.92121e+07
1.04112e-09 3749.7 1.91842e+07
1.04412e-09 3735.81 1.91568e+07
1.04713e-09 3711.3 1.91294e+07
1.05015e-09 3708.16 1.91017e+07
1.05317e-09 3713.02 1.90747e+07
1.05621e-09 3708.29 1.90472e+07
1.05925e-09 3696.74 1.90201e+07
1.06231e-09 3699.63 1.89919e+07
1.06537e-09 3691.65 1.89656e+07
1.06844e-09 3695.96 1.89371e+07
1.07152e-09 3670.71 1.89107e+07
1.07461e-09 3665.36 1.88819e+07
1.07771e-09 3669.93 1.88567e+07
1.08081e-09 3663.23 1.88304e+07
1.08393e-09 3667.99 1.88022e+07
1.08705e-09 3665.32 1.87748e+07
1.09018e-09 3651.48 1.87473e+07
1.09333e-09 3642.99 1.87211e+07
1.09648e-09 3648.44 1.86929e+07
1.09964e-09 3637.65 1.86673e+07
1.10281e-09 3622.78 1.86395e+07
1.10599e-09 3630.41 1.86134e+07
1.10917e-09 3617.15 1.85858e+07
1.11237e-09 3612.77 1.85599e+07
1.11558e-09 3597.59 1.85328e+07
1.11879e-09 3596.97 1.85076e+07
1.12202e-09 3593.99 1.84798e+07
1.12525e-09 3586.21 1.84528e+07
1.1285e-09 3601.38 1.8427e+07
1.13175e-09 3573.93 1.84005e+07
1.13501e-09 3580.3 1.8373e+07
1.13828e-09 3574.23 1.83474e+07
1.14156e-09 3559.35 1.83202e+07
1.14485e-09 3555.93 1.82934e+07
1.14815e-09 3549.88 1.82687e+07
1.15146e-09 3554.49 1.82405e+07
1.15478e-09 3557.01 1.82164e+07
1.15811e-09 3535.51 1.81882e+07
1.16145e-09 3531.79 1.81636e+07
1.1648e-09 3535.85 1.81373e+07
1.16815e-09 3531.52 1.8112e+07
1.17152e-09 3501.51 1.80852e+07
1.1749e-09 3512.41 1.80607e+07
1.17828e-09 3517.36 1.80329e+07
1.18168e-09 3503.34 1.80066e+07
1.18509e-09 3499.66 1.79815e+07
1.1885e-09 3497.49 1.7955e+07
1.19193e-09 3498.96 1.79297e+07
1.19536e-09 3487.46 1.7904e+07
1.19881e-09 3483.92 1.78781e+07
1.20226e-09 3479.66 1.78529e+07
1.20573e-09 3472.47 1.78267e+07
1.20921e-09 3462.86 1.78012e+07
1.21269e-09 3461.3 1.77751e+07
1.21619e-09 3460.82 1.77516e+07
1.21969e-09 3453.46 1.77252e+07
1.22321e-09 3444.92 1.76985e+07
1.22673e-09 3447.65 1.76737e+07
1.23027e-09 3426.76 1.7648e+07
1.23381e-09 3432.6 1.76228e+07
1.23737e-09 3419.01 1.75977e+07
1.24094e-09 3417.72 1.75716e+07
1.24451e-09 3417.63 1.75476e+07
1.2481e-09 3411.84 1.75216e+07
1.2517e-09 3414.72 1.74954e+07
1.25531e-09 3407.83 1.74697e+07
1.25893e-09 3391.16 1.74469e+07
1.26255e-09 3388.16 1.74219e+07
1.26619e-09 3389.22 1.73969e+07
1.26984e-09 3381.89 1.73698e+07
1.2735e-09 3376.67 1.73452e+07
1.27717e-09 3374.53 1.73206e+07
1.28086e-09 3371.9 1.72948e+07
1.28455e-09 3362.34 1.72707e+07
1.28825e-09 3377.01 1.72461e+07
1.29196e-09 3360.75 1.72198e+07
1.29569e-09 3348 1.71961e+07
1.29942e-09 3331.63 1.71713e+07
1.30317e-09 3333.12 1.71473e+07
1.30692e-09 3328.1 1.71231e+07
1.31069e-09 3326.23 1.7098e+07
1.31447e-09 3327.52 1.7074e+07
1.31826e-09 3309.62 1.70479e+07
1.32206e-09 3312.13 1.70247e+07
1.32587e-09 3307.4 1.7001e+07
1.32969e-09 3293.43 1.69768e+07
1.33352e-09 3295.6 1.69509e+07
1.33737e-09 3296.52 1.6927e+07
1.34122e-09 3291.07 1.6902e+07
1.34509e-09 3282.58 1.68787e+07
1.34896e-09 3286.24 1.68543e+07
1.35285e-09 3288.2 1.68302e+07
1.35675e-09 3280.36 1.68056e+07
1.36066e-09 3268.08 1.67809e+07
1.36458e-09 3256.66 1.67568e+07
1.36852e-09 3259.23 1.6733e+07
1.37246e-09 3254.19 1.67088e+07
1.37642e-09 3244.76 1.6685e+07
1.38038e-09 3242.66 1.66611e+07
1.38436e-09 3232.5 1.66373e+07
1.38835e-09 3233.4 1.66134e+07
1.39236e-09 3222.09 1.65877e+07
1.39637e-09 3219.7 1.65662e+07
1.40039e-09 3221.92 1.65417e+07
1.40443e-09 3215.98 1.65174e+07
1.40848e-09 3209.94 1.64939e+07
1.41254e-09 3198.41 1.64693e+07
1.41661e-09 3201.33 1.64465e+07
1.42069e-09 3200.39 1.6423e+07
1.42479e-09 3192.96 1.63992e+07
1.42889e-09 3192.99 1.63752e+07
1.43301e-09 3184.27 1.63514e+07
1.43714e-09 3173.6 1.63284e+07
1.44129e-09 3166.3 1.63052e+07
1.44544e-09 3172.23 1.62821e+07
1.44961e-09 3164.48 1.62575e+07
1.45378e-09 3168.52 1.62356e+07
1.45797e-09 3161.37 1.62122e+07
1.46218e-09 3143.18 1.61891e+07
1.46639e-09 3140.89 1.61655e+07
1.47062e-09 3133.7 1.61421e+07
1.47486e-09 3139.94 1.61183e+07
1.47911e-09 3130.6 1.60952e+07
1.48337e-09 3137.7 1.60721e+07
1.48765e-09 3121.21 1.6049e+07
1.49194e-09 3120.58 1.60263e+07
1.49624e-09 3115.07 1.60032e+07
1.50055e-09 3110.81 1.59798e+07
1.50487e-09 3109.24 1.59569e+07
1.50921e-09 3103.62 1.59332e+07
1.51356e-09 3102.49 1.59115e+07
1.51792e-09 3101.81 1.58873e+07
1.5223e-09 3088.88 1.58654e+07
1.52669e-09 3081.6 1.58421e+07
1.53109e-09 3083.74 1.58195e+07
1.5355e-09 3079.64 1.57969e+07
1.53993e-09 3063.98 1.57745e+07
1.54437e-09 3056.33 1.57521e+07
1.54882e-09 3061.63 1.57281e+07
1.55328e-09 3066.72 1.57065e+07
1.55776e-09 3054.93 1.56838e+07
1.56225e-09 3056.05 1.56607e+07
1.56675e-09 3044.05 1.56379e+07
1.57127e-09 3040.73 1.5616e+07
1.5758e-09 3039.19 1.55931e+07
1.58034e-09 3032.79 1.55697e+07
1.58489e-09 3023.83 1.55499e+07
1.58946e-09 3027.61 1.55269e+07
1.59404e-09 3013.54 1.55039e+07
1.59864e-09 3015.69 1.54823e+07
1.60325e-09 3015.99 1.54595e+07
1.60787e-09 3003.17 1.54376e+07
1.6125e-09 3003.74 1.54151e+07
1.61715e-09 3000.17 1.53942e+07
1.62181e-09 2995.91 1.53703e+07
1.62648e-09 2989.83 1.53495e+07
1.63117e-09 2985.36 1.53264e+07
1.63587e-09 2968.81 1.53048e+07
1.64059e-09 2971.52 1.52818e+07
