# Neutron cross sections extracted from Geant4 by the ESS dgcode framework (doi:10.1016/j.physb.2018.03.025).
# Element: Gd160
# Geant4 version: 1043 "$Name: geant4-10-04-patch-03 $"
# Samples per energy point: 1250
# Energy_eV SigmaScat_Barn SigmaAbs_Barn
1.01158e-09 4045.16 7121.95
1.0145e-09 4044.41 7109.35
1.01742e-09 4021.45 7103.19
1.02035e-09 4014.22 7087.92
1.02329e-09 4033.48 7081.27
1.02624e-09 4015.55 7068.03
1.0292e-09 4010.71 7062.2
1.03217e-09 4006.42 7052.78
1.03514e-09 3985 7037.48
1.03813e-09 3987.66 7027.31
1.04112e-09 3987.14 7019.57
1.04412e-09 3967.6 7012.47
1.04713e-09 3970.55 7000.98
1.05015e-09 3956.28 6986.67
1.05317e-09 3956.84 6980.2
1.05621e-09 3956.58 6965.6
1.05925e-09 3942.29 6961.85
1.06231e-09 3945.08 6949.92
1.06537e-09 3940.46 6939.29
1.06844e-09 3925.25 6933.9
1.07152e-09 3921.93 6919.99
1.07461e-09 3906.2 6908.8
1.07771e-09 3900.34 6896.63
1.08081e-09 3908.8 6891.47
1.08393e-09 3912.34 6882.35
1.08705e-09 3894.21 6871.97
1.09018e-09 3901.28 6860.15
1.09333e-09 3893.08 6852.77
1.09648e-09 3887.06 6838.66
1.09964e-09 3877.54 6828.94
1.10281e-09 3875.28 6822.34
1.10599e-09 3865.62 6809.46
1.10917e-09 3856.81 6799.43
1.11237e-09 3858.09 6790.15
1.11558e-09 3860.9 6780.7
1.11879e-09 3823.5 6773.72
1.12202e-09 3843.52 6762.99
1.12525e-09 3824.34 6753.56
1.1285e-09 3833.46 6744.37
1.13175e-09 3802.74 6735.69
1.13501e-09 3816.63 6721.61
1.13828e-09 3822.87 6711.06
1.14156e-09 3793.53 6705.96
1.14485e-09 3798.7 6695.46
1.14815e-09 3789.74 6682.64
1.15146e-09 3792.48 6675.56
1.15478e-09 3781.32 6667.66
1.15811e-09 3776.39 6656.74
1.16145e-09 3779.09 6644.81
1.1648e-09 3783.86 6636.74
1.16815e-09 3756.88 6629.36
1.17152e-09 3750.38 6619.8
1.1749e-09 3745.48 6607.87
1.17828e-09 3757.83 6599.82
1.18168e-09 3740.19 6590.36
1.18509e-09 3733.42 6581.79
1.1885e-09 3731.1 6566.74
1.19193e-09 3726.38 6558.47
1.19536e-09 3721.53 6550.3
1.19881e-09 3716.29 6540.78
1.20226e-09 3715.95 6534.63
1.20573e-09 3704.64 6525.59
1.20921e-09 3705.36 6515.21
1.21269e-09 3692.18 6505.45
1.21619e-09 3686.54 6494.69
1.21969e-09 3676.28 6487.03
1.22321e-09 3683.71 6477.94
1.22673e-09 3665.85 6468.37
1.23027e-09 3672.83 6457.54
1.23381e-09 3664.16 6450.69
1.23737e-09 3649.88 6437.15
1.24094e-09 3649.94 6429.28
1.24451e-09 3630.36 6421.14
1.2481e-09 3639.86 6411.96
1.2517e-09 3640.91 6400.92
1.25531e-09 3631.56 6394.8
1.25893e-09 3621.68 6384.62
1.26255e-09 3623.13 6376.95
1.26619e-09 3615.45 6364.18
1.26984e-09 3613.14 6355.19
1.2735e-09 3601.83 6347.5
1.27717e-09 3589.84 6338.46
1.28086e-09 3588.03 6329.64
1.28455e-09 3590.06 6321.48
1.28825e-09 3589.17 6313.7
1.29196e-09 3576.39 6302.56
1.29569e-09 3571.35 6291.3
1.29942e-09 3552.66 6283.38
1.30317e-09 3569.15 6275.29
1.30692e-09 3556.47 6263.64
1.31069e-09 3557.74 6258.18
1.31447e-09 3544.18 6248.8
1.31826e-09 3535.77 6238.93
1.32206e-09 3525.51 6229.91
1.32587e-09 3519.01 6220.48
1.32969e-09 3520.76 6212.98
1.33352e-09 3512.41 6203.61
1.33737e-09 3522.11 6193.96
1.34122e-09 3503.59 6185.11
1.34509e-09 3494.26 6176.82
1.34896e-09 3503.63 6165.83
1.35285e-09 3494.54 6159.58
1.35675e-09 3488.98 6149.43
