# Neutron cross sections extracted from Geant4 by the ESS dgcode framework (doi:10.1016/j.physb.2018.03.025).
# Element: Gd158
# Geant4 version: 1043 "$Name: geant4-10-04-patch-03 $"
# Samples per energy point: 1250
# Energy_eV SigmaScat_Barn SigmaAbs_Barn
1.01158e-09 2455.02 11116.2
1.0145e-09 2455.61 11098.4
1.01742e-09 2441.2 11084
1.02035e-09 2436.46 11066.5
1.02329e-09 2448.4 11044.9
1.02624e-09 2438.09 11033.8
1.0292e-09 2433.91 11021.6
1.03217e-09 2431.99 11001
1.03514e-09 2418.93 10988.4
1.03813e-09 2420.69 10967.1
1.04112e-09 2420.22 10952.5
1.04412e-09 2408.6 10937
1.04713e-09 2409.7 10922
1.05015e-09 2401.87 10908.8
1.05317e-09 2401.96 10890.4
1.05621e-09 2401.73 10875.6
1.05925e-09 2392.78 10857
1.06231e-09 2395.01 10840.8
1.06537e-09 2391.96 10830.4
1.06844e-09 2382.48 10811.3
1.07152e-09 2380.43 10797
1.07461e-09 2371.4 10781.7
1.07771e-09 2367.52 10766
1.08081e-09 2372.51 10753.6
1.08393e-09 2374.91 10736.2
1.08705e-09 2364.13 10716.5
1.09018e-09 2368.08 10703.6
1.09333e-09 2362.94 10689.1
1.09648e-09 2359.5 10670.4
1.09964e-09 2353.74 10657.7
1.10281e-09 2352.69 10642
1.10599e-09 2346.37 10625.4
1.10917e-09 2341.13 10612.6
1.11237e-09 2341.72 10595.8
1.11558e-09 2343.72 10577.6
1.11879e-09 2321.2 10562.3
1.12202e-09 2332.51 10551
1.12525e-09 2321.5 10537.8
1.1285e-09 2326.99 10520.5
1.13175e-09 2308.71 10509.2
1.13501e-09 2316.66 10489.8
1.13828e-09 2320.68 10479.9
1.14156e-09 2302.58 10460.3
1.14485e-09 2305.98 10445.6
1.14815e-09 2300.42 10435.2
1.15146e-09 2300.95 10419.5
1.15478e-09 2295.68 10398.5
1.15811e-09 2292.14 10388.2
1.16145e-09 2293.76 10368.7
1.1648e-09 2297.14 10352.6
1.16815e-09 2279.92 10342.5
1.17152e-09 2277.13 10321.7
1.1749e-09 2273.88 10310.4
1.17828e-09 2281.09 10297.6
1.18168e-09 2270.01 10283.5
1.18509e-09 2266.17 10270.4
1.1885e-09 2264.69 10250
1.19193e-09 2262.01 10232.8
1.19536e-09 2258.62 10222.9
1.19881e-09 2256.04 10204.9
1.20226e-09 2256.17 10197.1
1.20573e-09 2248.46 10178.3
1.20921e-09 2249.42 10162.2
1.21269e-09 2240.78 10148.8
1.21619e-09 2238.15 10135.2
1.21969e-09 2231.39 10121.7
1.22321e-09 2235.78 10106.1
1.22673e-09 2225.42 10092.7
1.23027e-09 2229.34 10077.1
1.23381e-09 2224.09 10065.2
1.23737e-09 2215.73 10046.8
1.24094e-09 2215.62 10032
1.24451e-09 2203.71 10018.2
1.2481e-09 2209.39 10007.3
1.2517e-09 2210.41 9987.91
1.25531e-09 2203.85 9978.46
1.25893e-09 2199.15 9963.16
1.26255e-09 2198.89 9947.25
1.26619e-09 2194.81 9935.61
1.26984e-09 2193.23 9917.74
1.2735e-09 2186.08 9902.76
1.27717e-09 2179.24 9890.88
1.28086e-09 2178.41 9875.89
1.28455e-09 2178.44 9860.87
1.28825e-09 2179.37 9849.97
1.29196e-09 2170.5 9833.52
1.29569e-09 2168.07 9819.37
1.29942e-09 2156.45 9803.4
1.30317e-09 2166.9 9793.91
1.30692e-09 2158.47 9780.04
1.31069e-09 2160.11 9759.67
1.31447e-09 2150.88 9747.79
1.31826e-09 2146.37 9734.25
1.32206e-09 2140.03 9721.96
1.32587e-09 2136.1 9709.18
1.32969e-09 2137.15 9690.41
1.33352e-09 2132.04 9675.36
1.33737e-09 2138.55 9669.97
1.34122e-09 2125.89 9649.03
1.34509e-09 2121.78 9638.15
1.34896e-09 2126.58 9625.42
1.35285e-09 2120.78 9603.86
1.35675e-09 2118.13 9597.11
1.36066e-09 2114.37 9580.62
1.36458e-09 2113.2 9569.09
1.36852e-09 2105.97 9553.71
1.37246e-09 2106.18 9538.55
1.37642e-09 2108.04 9525.29
1.38038e-09 2096.64 9513.03
1.38436e-09 2088.74 9501.66
1.38835e-09 2101.12 9487.67
1.39236e-09 2082.47 9471.99
1.39637e-09 2080.34 9458.67
1.40039e-09 2080.55 9441.45
1.40443e-09 2079.04 9433.08
1.40848e-09 2077.69 9417.65
1.41254e-09 2070.08 9402.31
1.41661e-09 2067.15 9393.02
1.42069e-09 2058.84 9378.97
1.42479e-09 2069.03 9363.73
1.42889e-09 2070.82 9351.52
1.43301e-09 2064.42 9338.46
1.43714e-09 2052.47 9323.21
1.44129e-09 2054.95 9309.27
1.44544e-09 2052.78 9297.37
1.44961e-09 2045.02 9286.26
1.45378e-09 2047.86 9273.05
1.45797e-09 2047.03 9255.73
1.46218e-09 2035.97 9239.65
1.46639e-09 2035.12 9230.27
1.47062e-09 2027.52 9216.24
1.47486e-09 2032.19 9200.82
1.47911e-09 2025.63 9187.24
1.48337e-09 2022.96 9179.44
1.48765e-09 2018.35 9168.12
1.49194e-09 2022.5 9148.69
1.49624e-09 2016.39 9136.24
1.50055e-09 2011.89 9125.63
1.50487e-09 2013.21 9111.87
1.50921e-09 2009.72 9098.96
1.51356e-09 2011.43 9084.17
1.51792e-09 1999.84 9072.24
1.5223e-09 1999.19 9058.61
1.52669e-09 1993.22 9044.78
1.53109e-09 1999.13 9033.81
1.5355e-09 1995.11 9021.29
1.53993e-09 1985.87 9004.24
1.54437e-09 1980.11 8996.28
1.54882e-09 1980.26 8981.63
1.55328e-09 1985.21 8968.46
1.55776e-09 1976.45 8954.99
1.56225e-09 1973.66 8941.49
1.56675e-09 1972.7 8928.5
1.57127e-09 1967.3 8916.71
1.5758e-09 1962.42 8906.09
1.58034e-09 1967.9 8889.32
1.58489e-09 1956.58 8877.19
1.58946e-09 1958.7 8863.88
1.59404e-09 1949.84 8852.97
1.59864e-09 1951.8 8839.27
1.60325e-09 1953.89 8825.4
1.60787e-09 1939.96 8815.9
1.6125e-09 1946.07 8803.82
1.61715e-09 1936.99 8791.83
1.62181e-09 1941.77 8778.83
1.62648e-09 1933.7 8763.13
1.63117e-09 1930.73 8749.64
1.63587e-09 1929.27 8736.75
1.64059e-09 1929.26 8725.05
1.64532e-09 1928.96 8716.81
1.65006e-09 1923.04 8699.97
1.65482e-09 1913.54 8688.07
1.65959e-09 1918.87 8676.15
1.66437e-09 1914.22 8665.06
1.66917e-09 1914.84 8649.06
1.67398e-09 1913.29 8636.71
1.6788e-09 1902.7 8623.45
1.68364e-09 1901.88 8617.35
1.6885e-09 1899.48 8604.73
1.69336e-09 1894.68 8593.42
1.69824e-09 1891.58 8574.01
1.70314e-09 1891.97 8565.74
1.70805e-09 1892.08 8551.45
1.71297e-09 1886.92 8541.22
1.71791e-09 1883.51 8527.17
1.72286e-09 1883.59 8516.59
1.72783e-09 1868.85 8505.66
1.73281e-09 1877.4 8489.47
1.7378e-09 1870.71 8476.64
1.74281e-09 1874 8466.69
1.74783e-09 1869.82 8455.06
1.75287e-09 1860.77 8441.82
1.75792e-09 1856.13 8432.12
1.76299e-09 1856.51 8418.86
1.76807e-09 1858.87 8403.08
1.77317e-09 1848.03 8391.79
1.77828e-09 1854.79 8378.86
1.78341e-09 1848.21 8370.35
1.78855e-09 1846.35 8357.12
1.7937e-09 1843.4 8343.84
1.79887e-09 1834.32 8331.18
1.80406e-09 1834.25 8320.62
1.80926e-09 1838.35 8306.47
1.81447e-09 1833.77 8296.16
1.8197e-09 1832.02 8286.93
1.82495e-09 1831.35 8273.43
1.83021e-09 1822.74 8262.14
1.83548e-09 1819.7 8250.1
1.84077e-09 1818.05 8237.37
1.84608e-09 1811.85 8227.02
1.8514e-09 1811.12 8214.94
1.85674e-09 1808.63 8201.48
1.86209e-09 1810.94 8192.92
1.86745e-09 1804.94 8177.63
1.87284e-09 1805.85 8168.81
1.87824e-09 1806.2 8155.65
1.88365e-09 1797.9 8144.78
1.88908e-09 1793.07 8132.22
1.89452e-09 1793.29 8123.47
1.89998e-09 1784.27 8109.06
1.90546e-09 1794.06 8097.07
1.91095e-09 1786.12 8082.6
1.91646e-09 1782.12 8071.92
1.92199e-09 1785.94 8060.91
1.92752e-09 1775.55 8053.5
