# Neutron cross sections extracted from Geant4 by the ESS dgcode framework (doi:10.1016/j.physb.2018.03.025).
# Element: Gd154
# Geant4 version: 1043 "$Name: geant4-10-04-patch-03 $"
# Samples per energy point: 1250
# Energy_eV SigmaScat_Barn SigmaAbs_Barn
1.01158e-09 2536.54 439898
1.0145e-09 2537.25 439157
1.01742e-09 2522.35 438740
1.02035e-09 2517.56 437835
1.02329e-09 2529.91 437312
1.02624e-09 2518.75 436667
1.0292e-09 2515.05 435908
1.03217e-09 2512.4 435376
1.03514e-09 2499.7 434790
1.03813e-09 2501.49 434113
1.04112e-09 2500.95 433634
1.04412e-09 2488.12 432885
1.04713e-09 2490.21 432336
1.05015e-09 2481.48 431754
1.05317e-09 2481.84 431168
1.05621e-09 2481.46 430602
1.05925e-09 2472.35 429811
1.06231e-09 2475.24 429140
1.06537e-09 2470.59 428424
1.06844e-09 2461.9 427914
1.07152e-09 2460.17 427068
1.07461e-09 2449.69 426823
1.07771e-09 2446.54 426109
1.08081e-09 2451.3 425488
1.08393e-09 2453.89 424983
1.08705e-09 2443.1 424322
1.09018e-09 2446.56 423695
1.09333e-09 2440.52 422990
1.09648e-09 2439 422381
1.09964e-09 2431.89 421955
1.10281e-09 2430.22 421104
1.10599e-09 2424.59 420623
1.10917e-09 2418.71 420056
1.11237e-09 2420.01 419493
1.11558e-09 2420.97 418761
1.11879e-09 2399.28 418124
1.12202e-09 2410.43 417718
1.12525e-09 2397.68 416950
1.1285e-09 2405.34 416406
1.13175e-09 2384.48 415900
1.13501e-09 2394.18 415167
1.13828e-09 2397.31 414605
1.14156e-09 2378.68 414118
1.14485e-09 2383.39 413511
1.14815e-09 2377.16 412828
1.15146e-09 2377.08 412270
1.15478e-09 2371.15 411670
1.15811e-09 2369.03 411016
1.16145e-09 2369.84 410436
1.1648e-09 2373.23 409759
1.16815e-09 2356.31 409254
1.17152e-09 2352.71 408832
1.1749e-09 2349.19 408051
1.17828e-09 2356.64 407480
1.18168e-09 2345.78 407040
1.18509e-09 2342.02 406289
1.1885e-09 2339.91 405838
1.19193e-09 2337.11 405152
1.19536e-09 2333.56 404640
1.19881e-09 2331.01 404176
1.20226e-09 2331.07 403423
1.20573e-09 2323.41 402664
1.20921e-09 2324.34 402290
1.21269e-09 2315.41 401641
1.21619e-09 2311.97 401162
1.21969e-09 2306.62 400497
1.22321e-09 2310.1 400043
1.22673e-09 2298.8 399289
1.23027e-09 2304.12 398871
1.23381e-09 2297.9 398236
1.23737e-09 2289.29 397708
1.24094e-09 2289.51 397051
1.24451e-09 2276.58 396559
1.2481e-09 2283.95 396019
1.2517e-09 2282.81 395470
1.25531e-09 2278.01 394842
1.25893e-09 2270.54 394218
1.26255e-09 2273.44 393784
1.26619e-09 2267.43 393030
1.26984e-09 2265.88 392447
1.2735e-09 2258.78 391976
1.27717e-09 2252.69 391525
1.28086e-09 2248.87 391009
1.28455e-09 2251.6 390249
1.28825e-09 2250.87 389740
1.29196e-09 2243.56 389281
1.29569e-09 2240.84 388558
1.29942e-09 2228.19 387977
1.30317e-09 2238.04 387425
1.30692e-09 2230.77 386935
1.31069e-09 2230.95 386473
1.31447e-09 2222.38 385941
1.31826e-09 2219.3 385163
1.32206e-09 2210.36 384682
1.32587e-09 2207.36 384200
1.32969e-09 2207.65 383692
1.33352e-09 2203.22 383081
1.33737e-09 2209.33 382443
1.34122e-09 2196.82 382090
1.34509e-09 2192.18 381442
1.34896e-09 2196.71 380930
1.35285e-09 2191.62 380285
1.35675e-09 2187.46 379673
1.36066e-09 2185.65 379327
1.36458e-09 2184.13 378655
1.36852e-09 2176.56 377944
1.37246e-09 2175.94 377437
1.37642e-09 2178.4 377061
1.38038e-09 2166.3 376479
1.38436e-09 2157.69 376043
1.38835e-09 2171.13 375481
1.39236e-09 2151.72 374867
1.39637e-09 2149.75 374465
1.40039e-09 2149.73 373840
1.40443e-09 2146.32 373264
1.40848e-09 2147.83 372733
1.41254e-09 2140.59 372200
1.41661e-09 2135.13 371579
1.42069e-09 2128.17 371205
1.42479e-09 2136.02 370520
1.42889e-09 2140.17 370083
1.43301e-09 2132.13 369406
1.43714e-09 2121.89 368849
1.44129e-09 2122.17 368572
1.44544e-09 2121.63 368017
1.44961e-09 2114 367271
1.45378e-09 2116.15 366795
1.45797e-09 2115.76 366337
1.46218e-09 2101.91 365883
1.46639e-09 2102.97 365331
1.47062e-09 2095.2 364782
1.47486e-09 2100.54 364199
1.47911e-09 2091.68 363745
1.48337e-09 2090.63 363138
1.48765e-09 2084.85 362696
1.49194e-09 2090.69 362224
1.49624e-09 2082.3 361824
1.50055e-09 2078.91 360970
1.50487e-09 2081.18 360680
1.50921e-09 2076.1 360117
1.51356e-09 2079.17 359642
1.51792e-09 2065.47 359090
1.5223e-09 2065.97 358667
1.52669e-09 2060.15 357883
1.53109e-09 2065.34 357614
1.5355e-09 2060.73 357112
1.53993e-09 2050.74 356408
1.54437e-09 2046.67 355959
1.54882e-09 2046.12 355515
1.55328e-09 2050.46 355007
1.55776e-09 2042.7 354443
1.56225e-09 2038.71 353833
1.56675e-09 2038.39 353364
1.57127e-09 2032.53 352889
1.5758e-09 2029.06 352352
1.58034e-09 2031.86 351778
1.58489e-09 2022.57 351315
1.58946e-09 2023.4 350862
1.59404e-09 2014.28 350441
1.59864e-09 2017.09 349932
1.60325e-09 2018.62 349426
1.60787e-09 2003.94 348945
1.6125e-09 2010.9 348421
1.61715e-09 2002.93 347901
1.62181e-09 2004.96 347433
1.62648e-09 1997.87 346907
1.63117e-09 1995.47 346485
1.63587e-09 1993.32 345882
1.64059e-09 1994.06 345308
1.64532e-09 1992.72 344929
1.65006e-09 1986.89 344384
1.65482e-09 1976.41 343824
1.65959e-09 1983.65 343453
1.66437e-09 1977.35 342778
1.66917e-09 1978.26 342345
1.67398e-09 1977.13 341827
1.6788e-09 1966.57 341486
1.68364e-09 1965.03 340991
1.6885e-09 1961.61 340506
1.69336e-09 1957.97 339906
1.69824e-09 1954.95 339433
1.70314e-09 1954.36 338875
1.70805e-09 1955.79 338444
1.71297e-09 1949.56 338004
1.71791e-09 1946.39 337605
1.72286e-09 1945.79 336987
1.72783e-09 1931.31 336499
1.73281e-09 1939.07 335941
1.7378e-09 1932.67 335602
1.74281e-09 1937 335233
1.74783e-09 1931.77 334542
1.75287e-09 1922.64 334064
1.75792e-09 1917.68 333693
1.76299e-09 1918.08 333181
1.76807e-09 1921.27 332685
1.77317e-09 1909.17 332186
1.77828e-09 1917.29 331690
1.78341e-09 1908.01 331169
1.78855e-09 1908.94 330776
1.7937e-09 1904.29 330359
1.79887e-09 1895.6 329846
1.80406e-09 1894.97 329472
1.80926e-09 1899.72 329015
1.81447e-09 1894.3 328379
1.8197e-09 1893.11 327954
1.82495e-09 1892.31 327428
1.83021e-09 1883.32 327010
1.83548e-09 1880.38 326653
1.84077e-09 1878.38 326011
1.84608e-09 1871.79 325521
1.8514e-09 1871.46 325151
1.85674e-09 1868.89 324783
1.86209e-09 1871.06 324137
1.86745e-09 1865.18 323767
1.87284e-09 1866.1 323352
1.87824e-09 1865.7 322754
1.88365e-09 1858.16 322347
1.88908e-09 1851.79 321883
1.89452e-09 1853.61 321417
1.89998e-09 1843.5 320911
1.90546e-09 1854.23 320383
1.91095e-09 1844.59 319955
1.91646e-09 1842.01 319489
1.92199e-09 1845.31 319156
1.92752e-09 1834.68 318672
1.93308e-09 1826.33 318193
1.93865e-09 1825.69 317773
1.94424e-09 1825.61 317319
1.94984e-09 1828.46 316811
1.95546e-09 1822.52 316392
1.9611e-09 1822.78 315837
1.96675e-09 1819.02 315388
1.97242e-09 1817.92 314971
