#F AtomicWeights.dat
#D Thu Apr  3 11:57:33 2003
#UT Atomic Weights and Isotopic Composition
#UD   Atomic Weights and Isotopic Composition
#UD   
#UD   This file contains information about atomic weights of isotopes and
#UD   relative abundance. 
#UD   
#UD   The data have been taken from: 
#UD     Coursey, J. S., Schwab, D. J., and Dragoset, R. A. (2001), Atomic
#UD     Weights and Isotopic Compositions (version 2.4). 
#UD     [Online] Available:
#UD     http://physics.nist.gov/Comp [2003, April 3]
#UD     National Institute of Standards and Technology, Gaithersburg, MD.
#UD  
#UD   Originally published as T.B. Coplen, Atomic Weights of the Elements
#UD     1999, Pure Appl. Chem. 73(4), 667 (2001); K.J.R. Rosman and P.D.P.
#UD     Taylor, Isotopic Compositions of the Elements 1997, J. Phys. Chem. Ref.
#UD     Data 27(6), 1275 (1998); and G. Audi and A.H. Wapstra, The 1995 Update
#UD     To The Atomic Mass Evaluation, Nuclear Physics A 595(4), 409 (1995). 
#UD   
#UD   Data present in this file corresponds to the "most common isotopes".
#UD   
#UD   Column information: 
#UD      Col1: AtomicMass: Relative atomic mass
#UD      Col2: Abundance: isotopic composition in %
#UD      Col3: AveragedAtomicMass: Standard Atomic Weight
#L  AtomicMass  Abundance  AveragedAtomicMass
    34.96885271400    75.78400000000    35.45320000000
#S  17 37Cl
#N  3
#L  AtomicMass  Abundance  AveragedAtomicMass
    36.96590260500    24.22400000000    35.45320000000
#S  18 36Ar
#N  3
#L  AtomicMass  Abundance  AveragedAtomicMass
    35.96754628270   0.3365300000000    39.94810000000
#S  18 38Ar
#N  3
#L  AtomicMass  Abundance  AveragedAtomicMass
    37.96273225000  0.06325000000000    39.94810000000
#S  18 40Ar
#N  3
#L  AtomicMass  Abundance  AveragedAtomicMass
    39.96238312330    99.60033000000    39.94810000000
#S  19 39K
#N  3
#L  AtomicMass  Abundance  AveragedAtomicMass
    38.96370693000    93.25814400000    39.09831000000
#S  19 40K
#N  3
#L  AtomicMass  Abundance  AveragedAtomicMass
    39.96399867290  0.01171000000000    39.09831000000
#S  19 41K
#N  3
#L  AtomicMass  Abundance  AveragedAtomicMass
    40.96182597280    6.730244000000    39.09831000000
#S  20 40Ca
#N  3
#L  AtomicMass  Abundance  AveragedAtomicMass
    39.96259123000    96.94115600000    40.07840000000
#S  20 42Ca
#N  3
#L  AtomicMass  Abundance  AveragedAtomicMass
    41.95861834000   0.6472300000000    40.07840000000
#S  20 43Ca
#N  3
#L  AtomicMass  Abundance  AveragedAtomicMass
    42.95876685000   0.1351000000000    40.07840000000
#S  20 44Ca
#N  3
#L  AtomicMass  Abundance  AveragedAtomicMass
    43.95548119000    2.086110000000    40.07840000000
#S  20 46Ca
#N  3
#L  AtomicMass  Abundance  AveragedAtomicMass
    45.95369282500 0.004300000000000    40.07840000000
#S  20 48Ca
#N  3
#L  AtomicMass  Abundance  AveragedAtomicMass
    47.95253440000   0.1872100000000    40.07840000000
#S  21 45Sc
#N  3
#L  AtomicMass  Abundance  AveragedAtomicMass
    44.95591021200    100.0000000000    44.95591080000
#S  22 46Ti
#N  3
#L  AtomicMass  Abundance  AveragedAtomicMass
    45.95262951200    8.253000000000    47.86710000000
#S  22 47Ti
#N  3
#L  AtomicMass  Abundance  AveragedAtomicMass
    46.95176381000    7.442000000000    47.86710000000
#S  22 48Ti
#N  3
#L  AtomicMass  Abundance  AveragedAtomicMass
    47.94794711000    73.72300000000    47.86710000000
#S  22 49Ti
#N  3
#L  AtomicMass  Abundance  AveragedAtomicMass
    48.94787081000    5.412000000000    47.86710000000
#S  22 50Ti
#N  3
#L  AtomicMass  Abundance  AveragedAtomicMass
    49.94479211100    5.182000000000    47.86710000000
#S  23 50V
#N  3
#L  AtomicMass  Abundance  AveragedAtomicMass
    49.94716281400   0.2504000000000    50.94151000000
#S  23 51V
#N  3
#L  AtomicMass  Abundance  AveragedAtomicMass
    50.94396371400    99.75040000000    50.94151000000
#S  24 50Cr
#N  3
#L  AtomicMass  Abundance  AveragedAtomicMass
    49.94604961400    4.345130000000    51.99616000000
#S  24 52Cr
#N  3
#L  AtomicMass  Abundance  AveragedAtomicMass
    51.94051191500    83.78918000000    51.99616000000
#S  24 53Cr
#N  3
#L  AtomicMass  Abundance  AveragedAtomicMass
    52.94065381500    9.501170000000    51.99616000000
#S  24 54Cr
#N  3
#L  AtomicMass  Abundance  AveragedAtomicMass
    53.93888491500    2.365700000000    51.99616000000
#S  25 55Mn
#N  3
#L  AtomicMass  Abundance  AveragedAtomicMass
    54.93804961400    100.0000000000    54.93804990000
#S  26 54Fe
#N  3
#L  AtomicMass  Abundance  AveragedAtomicMass
    53.93961481400    5.845350000000    55.84520000000
#S  26 56Fe
#N  3
#L  AtomicMass  Abundance  AveragedAtomicMass
    55.93494211500    91.75436000000    55.84520000000
#S  26 57Fe
#N  3
#L  AtomicMass  Abundance  AveragedAtomicMass
    56.93539871500    2.119100000000    55.84520000000
#S  26 58Fe
#N  3
#L  AtomicMass  Abundance  AveragedAtomicMass
    57.93328051500   0.2824000000000    55.84520000000
#S  27 59Co
#N  3
#L  AtomicMass  Abundance  AveragedAtomicMass
    58.93320021500    100.0000000000    58.93320090000
#S  28 58Ni
#N  3
#L  AtomicMass  Abundance  AveragedAtomicMass
    57.93534791500    68.07698900000    58.69342000000
#S  28 60Ni
#N  3
#L  AtomicMass  Abundance  AveragedAtomicMass
    59.93079061500    26.22317700000    58.69342000000
