 Direct beam 1:  4454
 Reflect beam 1:  4566
 Instrument background 1:  
 Theta 1: san
 Direct beam 2:  4570
 Reflect beam 2:  4567
 Instrument background 2:  
 Theta 2: san
 Direct beam 3:  4572
 Reflect beam 3:  4569
 Instrument background 3:  
 Theta 3: san
 Water:  
 Foreground 1:        5
 Foreground 2:        9
 Foreground 3:        9
 Background Low 1 - Offset :        5
 Background Low 1 - Width  :        9
 Background Low 2 - Offset :        5
 Background Low 2 - Width  :        5
 Background Low 3 - Offset :        5
 Background Low 3 - Width  :        5
 Background High 1 - Offset :        5
 Background High 1 - Width  :        9
 Background High 2 - Offset :        5
 Background High 2 - Width  :        5
 Background High 3 - Offset :        5
 Background High 3 - Width  :        5
 Lambda Range 1:       3.00000-      25.0000
 Lambda Range 2:       2.20000-      25.0000
 Lambda Range 3:       2.20000-      25.0000
 Useful Pixel Range 1:           30-         255
 Useful Pixel Range 2:           30-         255
 Useful Pixel Range 3:           30-         255
 Search Pixel Range 1:          160-         254
 Search Pixel Range 2:          160-         254
 Search Pixel Range 3:          160-         254
 Search Time Range 1:            0-         999
 Search Time Range 2:            0-         999
 Search Time Range 3:            0-         999

	q	   refl		refl err	q res
   0.00700896      0.589793      0.104607   9.26493e-05
   0.00701902      0.978896      0.168589   9.27898e-05
   0.00702911      0.848739      0.147214   9.29307e-05
   0.00703922      0.749322      0.126778   9.30720e-05
   0.00704937       1.11827      0.174253   9.32138e-05
   0.00705955      0.666667      0.110320   9.33560e-05
   0.00706975      0.849477      0.140664   9.34987e-05
   0.00707999      0.935065      0.153293   9.36417e-05
   0.00709026      0.894571      0.138915   9.37852e-05
   0.00710055      0.914634      0.146137   9.39292e-05
   0.00711088      0.962500      0.153660   9.40736e-05
   0.00712123       1.13503      0.183613   9.42184e-05
   0.00713161      0.938059      0.150354   9.43637e-05
   0.00714203      0.668961      0.117691   9.45094e-05
   0.00715248       1.01198      0.156752   9.46556e-05
   0.00716295      0.754645      0.123971   9.48022e-05
   0.00717346      0.799414      0.123450   9.49493e-05
   0.00718400      0.725490      0.110783   9.50968e-05
   0.00719457      0.865874      0.128555   9.52448e-05
   0.00720517      0.710391      0.106186   9.53933e-05
   0.00721580      0.861667      0.127001   9.55422e-05
   0.00722646      0.819499      0.122481   9.56916e-05
   0.00723716      0.967222      0.138046   9.58414e-05
   0.00724789      0.838071      0.118886   9.59918e-05
   0.00725864      0.709876     0.0983376   9.61426e-05
   0.00726943      0.923877      0.132659   9.62939e-05
   0.00728026      0.914122      0.122906   9.64456e-05
   0.00729111      0.785816      0.109807   9.65978e-05
   0.00730200      0.843954      0.118827   9.67505e-05
   0.00731292      0.790175      0.103217   9.69037e-05
   0.00732387      0.812792      0.111366   9.70574e-05
   0.00733486      0.698128     0.0914637   9.72115e-05
   0.00734587      0.867660      0.114866   9.73662e-05
   0.00735693       1.04625      0.135176   9.75213e-05
   0.00736801       1.04234      0.136820   9.76769e-05
   0.00737913      0.856280      0.107537   9.78331e-05
   0.00739028       1.10194      0.138924   9.79897e-05
   0.00740147      0.830763      0.101580   9.81469e-05
   0.00741268      0.942361      0.123073   9.83045e-05
   0.00742394       1.18618      0.148650   9.84626e-05
   0.00743523       1.01639      0.129610   9.86213e-05
   0.00744655      0.806878     0.0999287   9.87805e-05
   0.00745790      0.780471     0.0924472   9.89401e-05
   0.00746930      0.811774      0.101491   9.91003e-05
   0.00748072      0.814194      0.107347   9.92611e-05
   0.00749218      0.924195      0.112305   9.94223e-05
   0.00750368      0.816356     0.0981340   9.95840e-05
   0.00751521      0.870262      0.107220   9.97463e-05
   0.00752678      0.867465      0.102959   9.99091e-05
   0.00753838       1.02899      0.123000   0.000100073
   0.00755002      0.775641     0.0939606   0.000100236
   0.00756169      0.954453      0.106926   0.000100401
   0.00757341      0.824850      0.100919   0.000100566
   0.00758515      0.770826     0.0946458   0.000100731
   0.00759694      0.857192     0.0988823   0.000100897
   0.00760876      0.837496     0.0937694   0.000101064
   0.00762061       1.03558      0.126230   0.000101231
   0.00763251      0.845469     0.0945863   0.000101399
   0.00764444      0.751096     0.0894511   0.000101567
   0.00765641      0.898880      0.102309   0.000101736
   0.00766841      0.998850      0.117684   0.000101905
   0.00768046      0.814802     0.0947317   0.000102075
   0.00769254      0.875947     0.0967726   0.000102246
   0.00770466      0.755682     0.0868232   0.000102417
   0.00771682      0.871338     0.0967565   0.000102588
   0.00772901       1.01250      0.112851   0.000102760
   0.00774125      0.745834     0.0814296   0.000102933
   0.00775352      0.888734      0.102851   0.000103107
   0.00776584      0.995712      0.108756   0.000103281
   0.00777819      0.904840      0.100939   0.000103455
   0.00779058      0.873375     0.0956081   0.000103630
   0.00780301      0.837898     0.0941823   0.000103806
   0.00781548      0.836098     0.0958269   0.000103982
   0.00782799      0.843932     0.0905029   0.000104159
   0.00784054       1.16347      0.123757   0.000104337
   0.00785313      0.973042      0.104911   0.000104515
   0.00786577      0.915346     0.0971959   0.000104694
   0.00787844      0.916515     0.0980163   0.000104873
   0.00789115      0.860480     0.0954724   0.000105053
   0.00790391      0.923248      0.100850   0.000105234
   0.00791670       1.03086      0.117029   0.000105415
   0.00792954      0.919827     0.0991640   0.000105597
   0.00794242      0.925022     0.0977352   0.000105779
   0.00795534      0.923411     0.0997735   0.000105962
   0.00796830      0.872467     0.0959629   0.000106146
   0.00798131      0.828125     0.0887974   0.000106330
   0.00799436      0.858762     0.0916067   0.000106515
   0.00800744      0.778736     0.0835246   0.000106701
   0.00802058      0.788732     0.0813856   0.000106887
   0.00803376      0.798181     0.0857521   0.000107074
   0.00804697      0.916117     0.0975411   0.000107262
   0.00806024       1.00148      0.103689   0.000107450
   0.00807355      0.969909      0.100430   0.000107639
   0.00808690       1.00241      0.104730   0.000107828
   0.00810029       1.21037      0.124712   0.000108019
   0.00811373      0.749866     0.0797136   0.000108209
   0.00812722      0.730307     0.0719106   0.000108401
   0.00814075      0.825243     0.0833546   0.000108593
   0.00815432      0.811729     0.0817609   0.000108786
   0.00816794      0.762937     0.0772836   0.000108980
   0.00818161      0.783479     0.0762141   0.000109174
   0.00819532      0.831443     0.0790952   0.000109369
   0.00820907      0.880482     0.0876029   0.000109565
   0.00822288      0.908835     0.0938819   0.000109761
   0.00823673      0.893490     0.0871825   0.000109958
   0.00825063      0.836057     0.0876619   0.000110156
   0.00826457       1.12705      0.113429   0.000110355
   0.00827856      0.888492     0.0850008   0.000110554
   0.00829260      0.958557     0.0909407   0.000110754
   0.00830668      0.791583     0.0757174   0.000110955
   0.00832082      0.925326     0.0881713   0.000111156
   0.00833500      0.976464     0.0954456   0.000111358
   0.00834923      0.937516     0.0912264   0.000111561
   0.00836351      0.892245     0.0829326   0.000111765
   0.00837784       1.16749      0.106017   0.000111969
   0.00839222      0.924177     0.0853545   0.000112174
   0.00840665       1.02917     0.0888914   0.000112380
